"cluster","ASV","short_name","mean_in","mean_out","ratio","score","padj"
"A1","Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_26","Sulfitobacter (99); ESV_26",0.112737,0.040211,2.8,0.3161,0.011
"A1","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_58","SAR92_clade (100); ESV_58",0.047814,0.013333,3.6,0.1715,0.000197
"A1","Rhodobacterales (100); Rhodobacteraceae (100); Amylibacter (88); ESV_14","Amylibacter (88); ESV_14",0.031511,0.015012,2.1,0.0661,0.00758
"A1","Parvibaculales (100); OCS116_clade (100); OCS116_clade_ge (100); ESV_376","OCS116_clade_ge (100); ESV_376",0.007706,0.001767,4.4,0.0336,0.00617
"A2","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8","SAR86_clade_ge (100); ESV_8",0.095222,0.015252,6.2,0.5945,0.00195
"A2","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_757","SAR86_clade_ge (100); ESV_757",0.007576,0.000126,59.7,0.4526,0.000154
"A2","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_3710","SAR86_clade_ge (100); ESV_3710",0.00961,0.000206,46.4,0.4454,0.000239
"A2","Oceanospirillales (100); Pseudohongiellaceae (100); Pseudohongiella (100); ESV_147","Pseudohongiella (100); ESV_147",0.02919,0.001991,14.7,0.4277,6.21e-07
"A2","Cellvibrionales (65); Spongiibacteraceae (53); BD1-7_clade (30); ESV_5213","BD1-7_clade (30); ESV_5213",0.002748,3.5e-05,75.5,0.2073,0.00129
"A2","uncultured (53); uncultured_fa (53); uncultured_ge (53); ESV_804","uncultured_ge (53); ESV_804",0.004661,0.000107,43.3,0.2018,3.94e-08
"A2","OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_314","OM182_clade_ge (100); ESV_314",0.021526,0.00257,8.4,0.1803,6e-06
"A2","Parvibaculales (79); Parvibaculaceae (78); uncultured (78); ESV_1091","uncultured (78); ESV_1091",0.003436,7.7e-05,44.1,0.1516,0.00768
"A2","Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (100); ESV_94","SAR116_clade_ge (100); ESV_94",0.024451,0.003972,6.2,0.1505,1.57e-08
"A2","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_37","SAR86_clade_ge (100); ESV_37",0.035731,0.009277,3.9,0.1376,0.0233
"B1","Thiomicrospirales (100); Thioglobaceae (100); SUP05_cluster (100); ESV_10","SUP05_cluster (100); ESV_10",0.051286,0.019882,2.6,0.1323,0.000953
"B1","Verrucomicrobiales (100); Rubritaleaceae (100); Persicirhabdus (100); ESV_190","Persicirhabdus (100); ESV_190",0.026182,0.011145,2.3,0.0615,0.0094
"B1","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_220","NS4_marine_group (100); ESV_220",0.013103,0.003037,4.3,0.0565,9.31e-09
"B1","Chitinivibrionales (18); Chitinivibrionaceae (18); Chitinivibrio (18); ESV_9969","Chitinivibrio (18); ESV_9969",0.000509,4e-06,108.6,0.0553,6.26e-07
"B1","Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (92); ESV_418","Tenacibaculum (92); ESV_418",0.009176,0.002335,3.9,0.0361,6.57e-07
"B1","Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (80); ESV_1629","Fluviicola (80); ESV_1629",0.000986,5.4e-05,17.9,0.0177,0.00931
"B1","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_432","NS9_marine_group_ge (100); ESV_432",0.004112,0.000977,4.2,0.0173,3.03e-07
"B1","Parvibaculales (100); OCS116_clade (100); OCS116_clade_ge (100); ESV_376","OCS116_clade_ge (100); ESV_376",0.005365,0.00172,3.1,0.0167,7.69e-07
"B1","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_626","SAR92_clade (100); ESV_626",0.007679,0.003553,2.2,0.0166,0.00202
"B1","Flavobacteriales (96); NS9_marine_group (92); NS9_marine_group_ge (92); ESV_238","NS9_marine_group_ge (92); ESV_238",0.005993,0.002535,2.4,0.0142,8.68e-06
"B2a","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_3 (65); ESV_1036","Polaribacter_3 (65); ESV_1036",0.002903,0,2904.1,8.4307,9.04e-11
"B2a","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (70); ESV_196","Polaribacter_1 (70); ESV_196",0.019235,0.001475,13,0.2508,2.85e-10
"B2a","Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_4334","uncultured (100); ESV_4334",0.000968,4e-06,178.1,0.1724,6.26e-07
"B2a","Flavobacteriales (99); NS9_marine_group (88); NS9_marine_group_ge (88); ESV_6004","NS9_marine_group_ge (88); ESV_6004",0.000907,6e-06,131.6,0.1194,0.00308
"B2a","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8","SAR86_clade_ge (100); ESV_8",0.041132,0.019883,2.1,0.0851,2.9e-05
"B2a","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (85); ESV_676","Polaribacter (85); ESV_676",0.012803,0.002305,5.6,0.0711,1.46e-08
"B2a","OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_1503","OM182_clade_ge (100); ESV_1503",0.008147,0.001065,7.6,0.0623,7.46e-14
"B2a","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_361","SAR92_clade (100); ESV_361",0.007587,0.000955,7.9,0.0602,1.34e-07
"B2a","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_149","NS4_marine_group (100); ESV_149",0.008157,0.001367,6,0.0486,3.8e-08
"B2a","Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (98); ESV_139","Ulvibacter (98); ESV_139",0.015518,0.006517,2.4,0.0369,0.000135
"B2b","Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (99); ESV_9","Ulvibacter (99); ESV_9",0.09869,0.044215,2.2,0.2203,8.37e-07
"B2b","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (96); ESV_717","Polaribacter_1 (96); ESV_717",0.000343,0,344.1,0.118,0.00017
"B2b","Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_130","uncultured (100); ESV_130",0.029192,0.007856,3.7,0.1085,5.09e-10
"B2b","Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_709","NS11-12_marine_group_ge (100); ESV_709",0.010619,0.001854,5.7,0.0608,2.04e-10
"B2b","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (90); ESV_322","Polaribacter_1 (90); ESV_322",0.009418,0.001522,6.2,0.0582,1.14e-09
"B2b","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_261","SAR92_clade (100); ESV_261",0.012463,0.003589,3.5,0.0433,1.36e-07
"B2b","Alteromonadales (100); Alteromonadaceae (100); Paraglaciecola (100); ESV_38","Paraglaciecola (100); ESV_38",0.015622,0.00742,2.1,0.0329,0.00144
"B2b","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_622","NS4_marine_group (100); ESV_622",0.004832,0.000942,5.1,0.0248,2.17e-12
"B2b","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_361","SAR92_clade (100); ESV_361",0.004775,0.001042,4.6,0.0219,6.94e-06
"B2b","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (85); ESV_676","Polaribacter (85); ESV_676",0.006899,0.002686,2.6,0.0177,3.19e-05
"C1a","Flavobacteriales (96); NS9_marine_group (92); NS9_marine_group_ge (92); ESV_238","NS9_marine_group_ge (92); ESV_238",0.016497,0.001717,9.6,0.1585,8.37e-10
"C1a","Verrucomicrobiales (100); Rubritaleaceae (100); Persicirhabdus (100); ESV_190","Persicirhabdus (100); ESV_190",0.037134,0.010497,3.5,0.1314,3.8e-06
"C1a","Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_34","uncultured (100); ESV_34",0.055243,0.025942,2.1,0.1176,5.41e-05
"C1a","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_266","NS9_marine_group_ge (100); ESV_266",0.012783,0.001423,9,0.1148,4.45e-11
"C1a","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_133","NS9_marine_group_ge (100); ESV_133",0.012415,0.00166,7.5,0.0928,4.14e-09
"C1a","Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30","Planktomarina (85); ESV_30",0.040271,0.019633,2.1,0.0826,0.000428
"C1a","Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (59); ESV_48","Tenacibaculum (59); ESV_48",0.032665,0.016042,2,0.0665,2.49e-05
"C1a","Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (100); ESV_210","Fluviicola (100); ESV_210",0.001927,6.6e-05,28.7,0.0554,6.71e-14
"C1a","Flavobacteriales (100); Flavobacteriaceae (100); Lutimonas (100); ESV_1235","Lutimonas (100); ESV_1235",0.002061,8.9e-05,22.9,0.0471,0.0219
"C1a","Flavobacteriales (100); Flavobacteriaceae (100); NS2b_marine_group (100); ESV_148","NS2b_marine_group (100); ESV_148",0.007787,0.001343,5.8,0.0451,1.21e-08
"C1b","Pirellulales (100); Pirellulaceae (100); Blastopirellula (100); ESV_2431","Blastopirellula (100); ESV_2431",0.002557,0,2558.1,6.5411,4.46e-15
"C1b","Nostocales (5); Phormidiaceae (4); Trichodesmium_IMS101 (4); ESV_3693","Trichodesmium_IMS101 (4); ESV_3693",0.002399,0,2399.9,5.7569,7.05e-14
"C1b","Mycoplasmatales (8); Mycoplasmataceae (8); uncultured (5); ESV_889","uncultured (5); ESV_889",0.018286,0.000182,100.1,1.8307,5.64e-20
"C1b","Enterobacteriales (12); Enterobacteriaceae (12); endosymbionts2 (7); ESV_967","endosymbionts2 (7); ESV_967",0.000928,0,928.8,0.8617,4.77e-06
"C1b","Flavobacteriales (100); NS9_marine_group (94); NS9_marine_group_ge (94); ESV_302","NS9_marine_group_ge (94); ESV_302",0.019046,0.001402,13.6,0.2586,4.62e-17
"C1b","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_1859","SAR86_clade_ge (100); ESV_1859",0.000499,0,500,0.2495,5.58e-05
"C1b","Clostridiales (15); Lachnospiraceae (9); probable_genus_10 (2); ESV_7663","probable_genus_10 (2); ESV_7663",0.000496,0,497.3,0.2468,0.000623
"C1b","Nitrospinales (100); Nitrospinaceae (100); LS-NOB (79); ESV_1069","LS-NOB (79); ESV_1069",0.000467,0,468.3,0.2188,5.58e-05
"C1b","Chitinophagales (100); Saprospiraceae (99); Aureispira (99); ESV_789","Aureispira (99); ESV_789",0.001027,4e-06,212.8,0.2186,4.01e-08
"C1b","Thiomicrospirales (100); Thioglobaceae (100); SUP05_cluster (100); ESV_10","SUP05_cluster (100); ESV_10",0.056449,0.016152,3.5,0.1973,2.33e-10
"C2a","Betaproteobacteriales (100); Methylophilaceae (100); OM43_clade (88); ESV_2652","OM43_clade (88); ESV_2652",0.00393,0,3930.8,15.4471,2.17e-12
"C2a","Nostocales (100); Microcystaceae (100); Atelocyanobacterium_(UCYN-A) (99); ESV_2177","Atelocyanobacterium_(UCYN-A) (99); ESV_2177",0.00099,0,991.5,0.982,1.82e-09
"C2a","Opitutales (100); Opitutaceae (94); Diplosphaera (66); ESV_1076","Diplosphaera (66); ESV_1076",0.000908,0,908.7,0.8249,1.78e-15
"C2a","JGI_0000069-P22 (18); JGI_0000069-P22_fa (18); JGI_0000069-P22_ge (18); ESV_1333","JGI_0000069-P22_ge (18); ESV_1333",0.002389,7e-06,297.5,0.7107,8.65e-20
"C2a","SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1","Clade_Ia (100); ESV_1",0.185644,0.066797,2.8,0.5159,1.09e-05
"C2a","Rhodospirillales (100); Magnetospiraceae (100); uncultured (100); ESV_844","uncultured (100); ESV_844",0.004957,5.5e-05,89,0.4412,1.89e-23
"C2a","Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_257","NS5_marine_group (100); ESV_257",0.009338,0.000237,39.3,0.3669,8.58e-18
"C2a","Micrococcales (99); Microbacteriaceae (99); Candidatus_Aquiluna (73); ESV_115","Candidatus_Aquiluna (73); ESV_115",0.012162,0.000511,23.7,0.2887,2.97e-10
"C2a","Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_29","NS5_marine_group (100); ESV_29",0.024566,0.002239,11,0.2695,3.21e-06
"C2a","Opitutales (98); Puniceicoccaceae (94); Pelagicoccus (93); ESV_931","Pelagicoccus (93); ESV_931",0.000513,0,513.9,0.2636,1.82e-09
"C2b1","Flavobacteriales (100); Flavobacteriaceae (100); Formosa (62); ESV_565","Formosa (62); ESV_565",0.010028,9.9e-05,100.5,1.0083,4.09e-07
"C2b1","Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (62); ESV_101","NS5_marine_group (62); ESV_101",0.054736,0.004642,11.8,0.6452,5.57e-09
"C2b1","OM182_clade (99); OM182_clade_fa (99); OM182_clade_ge (99); ESV_72","OM182_clade_ge (99); ESV_72",0.069445,0.02084,3.3,0.2314,5.68e-05
"C2b1","Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30","Planktomarina (85); ESV_30",0.061332,0.018382,3.3,0.2046,3.94e-07
"C2b1","Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (99); ESV_15","OM60(NOR5)_clade (99); ESV_15",0.024505,0.004809,5.1,0.1248,4.02e-07
"C2b1","Flavobacteriales (100); Flavobacteriaceae (100); NS3a_marine_group (98); ESV_387","NS3a_marine_group (98); ESV_387",0.007952,0.000511,15.5,0.1236,2.04e-06
"C2b1","Betaproteobacteriales (100); Burkholderiaceae (81); RS62_marine_group (51); ESV_288","RS62_marine_group (51); ESV_288",0.013195,0.001439,9.2,0.1209,9.41e-09
"C2b1","Flavobacteriales (100); Flavobacteriaceae (100); Formosa (83); ESV_6","Formosa (83); ESV_6",0.044376,0.018466,2.4,0.1066,0.00849
"C2b1","Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_68","NS11-12_marine_group_ge (100); ESV_68",0.044363,0.019537,2.3,0.1007,0.000239
"C2b1","Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (88); ESV_201","Fluviicola (88); ESV_201",0.028014,0.008989,3.1,0.0873,0.000117
"C2b2","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_1752","NS9_marine_group_ge (100); ESV_1752",0.000446,0,446.9,0.1993,0.000468
"C2b2","Betaproteobacteriales (100); Methylophilaceae (100); Methylotenera (99); ESV_568","Methylotenera (99); ESV_568",0.007586,0.000868,8.7,0.0663,8.51e-17
"C2b2","Flavobacteriales (76); Cryomorphaceae (27); uncultured (21); ESV_1451","uncultured (21); ESV_1451",0.002317,9.6e-05,24,0.0555,2.06e-11
"C2b2","Flavobacteriales (97); Cryomorphaceae (88); NS10_marine_group (88); ESV_8708","NS10_marine_group (88); ESV_8708",0.000385,4e-06,80.3,0.0309,0.00555
"C2b2","Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (62); ESV_101","NS5_marine_group (62); ESV_101",0.014349,0.006745,2.1,0.0305,1.12e-08
"C2b2","Rhodobacterales (100); Rhodobacteraceae (100); Ascidiaceihabitans (98); ESV_198","Ascidiaceihabitans (98); ESV_198",0.009651,0.003782,2.6,0.0246,4.62e-05
"C2b2","Nitrosococcales (96); Methylophagaceae (96); uncultured (80); ESV_763","uncultured (80); ESV_763",0.005134,0.001267,4.1,0.0208,0.000147
"C2b2","Kordiimonadales (100); uncultured (100); uncultured_ge (100); ESV_264","uncultured_ge (100); ESV_264",0.002995,0.000453,6.6,0.0198,3.33e-09
"C2b2","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_622","NS4_marine_group (100); ESV_622",0.003776,0.001066,3.5,0.0134,0.00269
"C2b2","Flavobacteriales (100); Cryomorphaceae (100); NS10_marine_group (100); ESV_1155","NS10_marine_group (100); ESV_1155",0.004663,0.001762,2.6,0.0123,1.59e-05
