"cluster","col_cluster","ASV","short_name","mean_in","mean_out","ratio","score","padj"
"A1","CC2","Parvibaculales (100); OCS116_clade (100); OCS116_clade_ge (100); ESV_376","OCS116_clade_ge (100); ESV_376",0.007706,0.001767,4.4,0.0336,0.00617
"A1","CC6","Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_26","Sulfitobacter (99); ESV_26",0.112737,0.040211,2.8,0.3161,0.011
"A1","CC6","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_58","SAR92_clade (100); ESV_58",0.047814,0.013333,3.6,0.1715,0.000197
"A1","CC6","Rhodobacterales (100); Rhodobacteraceae (100); Amylibacter (88); ESV_14","Amylibacter (88); ESV_14",0.031511,0.015012,2.1,0.0661,0.00758
"A2","CC1","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_757","SAR86_clade_ge (100); ESV_757",0.007576,0.000126,59.7,0.4526,0.000154
"A2","CC1","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_3710","SAR86_clade_ge (100); ESV_3710",0.00961,0.000206,46.4,0.4454,0.000239
"A2","CC1","Cellvibrionales (65); Spongiibacteraceae (53); BD1-7_clade (30); ESV_5213","BD1-7_clade (30); ESV_5213",0.002748,3.5e-05,75.5,0.2073,0.00129
"A2","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8","SAR86_clade_ge (100); ESV_8",0.095222,0.015252,6.2,0.5945,0.00195
"A2","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_37","SAR86_clade_ge (100); ESV_37",0.035731,0.009277,3.9,0.1376,0.0233
"A2","CC5","Oceanospirillales (100); Pseudohongiellaceae (100); Pseudohongiella (100); ESV_147","Pseudohongiella (100); ESV_147",0.02919,0.001991,14.7,0.4277,6.21e-07
"A2","CC5","OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_314","OM182_clade_ge (100); ESV_314",0.021526,0.00257,8.4,0.1803,6e-06
"A2","CC5","Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (100); ESV_94","SAR116_clade_ge (100); ESV_94",0.024451,0.003972,6.2,0.1505,1.57e-08
"A2","CC6","OM182_clade (99); OM182_clade_fa (99); OM182_clade_ge (99); ESV_72","OM182_clade_ge (99); ESV_72",0.052371,0.021504,2.4,0.1275,9.1e-05
"A2","CC6","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_96","SAR92_clade (100); ESV_96",0.047812,0.018688,2.6,0.1223,0.00214
"A2","CC6","Oceanospirillales (100); Pseudohongiellaceae (100); Pseudohongiella (100); ESV_107","Pseudohongiella (100); ESV_107",0.017532,0.007349,2.4,0.0418,0.0106
"B1","CC1","Chitinivibrionales (18); Chitinivibrionaceae (18); Chitinivibrio (18); ESV_9969","Chitinivibrio (18); ESV_9969",0.000509,4e-06,108.6,0.0553,6.26e-07
"B1","CC1","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_338","NS9_marine_group_ge (100); ESV_338",0.000481,2.3e-05,20.5,0.0098,1.09e-05
"B1","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Lutimonas (100); ESV_3021","Lutimonas (100); ESV_3021",0.000566,3.5e-05,15.6,0.0088,0.0198
"B1","CC2","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_220","NS4_marine_group (100); ESV_220",0.013103,0.003037,4.3,0.0565,9.31e-09
"B1","CC2","Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (92); ESV_418","Tenacibaculum (92); ESV_418",0.009176,0.002335,3.9,0.0361,6.57e-07
"B1","CC2","Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (80); ESV_1629","Fluviicola (80); ESV_1629",0.000986,5.4e-05,17.9,0.0177,0.00931
"B1","CC5","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_626","SAR92_clade (100); ESV_626",0.007679,0.003553,2.2,0.0166,0.00202
"B1","CC5","Flavobacteriales (93); Flavobacteriaceae (93); Lutibacter (50); ESV_526","Lutibacter (50); ESV_526",0.003395,0.001458,2.3,0.0079,0.00997
"B1","CC5","Chitinophagales (100); Saprospiraceae (100); uncultured (100); ESV_280","uncultured (100); ESV_280",0.001573,0.000652,2.4,0.0038,0.00728
"B1","CC6","Thiomicrospirales (100); Thioglobaceae (100); SUP05_cluster (100); ESV_10","SUP05_cluster (100); ESV_10",0.051286,0.019882,2.6,0.1323,0.000953
"B1","CC6","Verrucomicrobiales (100); Rubritaleaceae (100); Persicirhabdus (100); ESV_190","Persicirhabdus (100); ESV_190",0.026182,0.011145,2.3,0.0615,0.0094
"B2a","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_3 (65); ESV_1036","Polaribacter_3 (65); ESV_1036",0.002903,0,2904.1,8.4307,9.04e-11
"B2a","CC1","Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_4334","uncultured (100); ESV_4334",0.000968,4e-06,178.1,0.1724,6.26e-07
"B2a","CC1","Flavobacteriales (99); NS9_marine_group (88); NS9_marine_group_ge (88); ESV_6004","NS9_marine_group_ge (88); ESV_6004",0.000907,6e-06,131.6,0.1194,0.00308
"B2a","CC2","Rhodobacterales (100); Rhodobacteraceae (100); uncultured (94); ESV_792","uncultured (94); ESV_792",0.000897,0.000374,2.4,0.0021,0.000515
"B2a","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8","SAR86_clade_ge (100); ESV_8",0.041132,0.019883,2.1,0.0851,2.9e-05
"B2a","CC5","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (70); ESV_196","Polaribacter_1 (70); ESV_196",0.019235,0.001475,13,0.2508,2.85e-10
"B2a","CC5","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (85); ESV_676","Polaribacter (85); ESV_676",0.012803,0.002305,5.6,0.0711,1.46e-08
"B2a","CC5","OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_1503","OM182_clade_ge (100); ESV_1503",0.008147,0.001065,7.6,0.0623,7.46e-14
"B2a","CC6","Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (98); ESV_139","Ulvibacter (98); ESV_139",0.015518,0.006517,2.4,0.0369,0.000135
"B2b","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (96); ESV_717","Polaribacter_1 (96); ESV_717",0.000343,0,344.1,0.118,0.00017
"B2b","CC1","Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_597","Sulfitobacter (99); ESV_597",0.000965,5.2e-05,18.2,0.0176,0.000193
"B2b","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (93); ESV_354","Polaribacter (93); ESV_354",0.001146,0.000169,6.7,0.0077,0.0013
"B2b","CC5","Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_130","uncultured (100); ESV_130",0.029192,0.007856,3.7,0.1085,5.09e-10
"B2b","CC5","Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_709","NS11-12_marine_group_ge (100); ESV_709",0.010619,0.001854,5.7,0.0608,2.04e-10
"B2b","CC5","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (90); ESV_322","Polaribacter_1 (90); ESV_322",0.009418,0.001522,6.2,0.0582,1.14e-09
"B2b","CC6","Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (99); ESV_9","Ulvibacter (99); ESV_9",0.09869,0.044215,2.2,0.2203,8.37e-07
"B2b","CC6","Alteromonadales (100); Alteromonadaceae (100); Paraglaciecola (100); ESV_38","Paraglaciecola (100); ESV_38",0.015622,0.00742,2.1,0.0329,0.00144
"C1a","CC1","Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (100); ESV_210","Fluviicola (100); ESV_210",0.001927,6.6e-05,28.7,0.0554,6.71e-14
"C1a","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Lutimonas (100); ESV_1235","Lutimonas (100); ESV_1235",0.002061,8.9e-05,22.9,0.0471,0.0219
"C1a","CC1","Kiritimatiellales (100); Kiritimatiellaceae (100); R76-B128 (100); ESV_2333","R76-B128 (100); ESV_2333",0.000701,1.1e-05,60.4,0.0424,0.000731
"C1a","CC2","Flavobacteriales (96); NS9_marine_group (92); NS9_marine_group_ge (92); ESV_238","NS9_marine_group_ge (92); ESV_238",0.016497,0.001717,9.6,0.1585,8.37e-10
"C1a","CC2","Alteromonadales (100); Psychromonadaceae (100); Psychromonas (100); ESV_559","Psychromonas (100); ESV_559",0.003485,0.000329,10.6,0.0368,6.98e-07
"C1a","CC2","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_432","NS9_marine_group_ge (100); ESV_432",0.003548,0.001081,3.3,0.0116,0.0155
"C1a","CC4","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_266","NS9_marine_group_ge (100); ESV_266",0.012783,0.001423,9,0.1148,4.45e-11
"C1a","CC4","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_133","NS9_marine_group_ge (100); ESV_133",0.012415,0.00166,7.5,0.0928,4.14e-09
"C1a","CC4","Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30","Planktomarina (85); ESV_30",0.040271,0.019633,2.1,0.0826,0.000428
"C1a","CC5","Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (50); ESV_544","OM60(NOR5)_clade (50); ESV_544",0.010736,0.004272,2.5,0.027,0.0201
"C1a","CC5","Chitinophagales (100); Saprospiraceae (100); uncultured (100); ESV_1166","uncultured (100); ESV_1166",0.001951,0.000362,5.4,0.0105,4.11e-07
"C1a","CC6","Verrucomicrobiales (100); Rubritaleaceae (100); Persicirhabdus (100); ESV_190","Persicirhabdus (100); ESV_190",0.037134,0.010497,3.5,0.1314,3.8e-06
"C1a","CC6","Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_34","uncultured (100); ESV_34",0.055243,0.025942,2.1,0.1176,5.41e-05
"C1a","CC6","Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (59); ESV_48","Tenacibaculum (59); ESV_48",0.032665,0.016042,2,0.0665,2.49e-05
"C1b","CC1","Thiotrichales (2); Thiotrichaceae (2); uncultured (2); ESV_1880","uncultured (2); ESV_1880",0.000439,0,440.4,0.1936,4.09e-07
"C1b","CC1","Oligoflexales (0); Oligoflexaceae (0); uncultured (0); ESV_13955","uncultured (0); ESV_13955",0.000156,0,156.9,0.0245,0.000623
"C1b","CC1","Lokiarchaeia_or (9); Lokiarchaeia_fa (9); Lokiarchaeia_ge (9); ESV_3575","Lokiarchaeia_ge (9); ESV_3575",0.000822,6.9e-05,11.8,0.0097,0.000542
"C1b","CC2","Pirellulales (100); Pirellulaceae (100); Blastopirellula (100); ESV_2431","Blastopirellula (100); ESV_2431",0.002557,0,2558.1,6.5411,4.46e-15
"C1b","CC2","Nostocales (5); Phormidiaceae (4); Trichodesmium_IMS101 (4); ESV_3693","Trichodesmium_IMS101 (4); ESV_3693",0.002399,0,2399.9,5.7569,7.05e-14
"C1b","CC2","Mycoplasmatales (8); Mycoplasmataceae (8); uncultured (5); ESV_889","uncultured (5); ESV_889",0.018286,0.000182,100.1,1.8307,5.64e-20
"C1b","CC3","SAR11_clade (100); Clade_IV (100); Clade_IV_ge (100); ESV_113","Clade_IV_ge (100); ESV_113",0.000948,0.000284,3.3,0.0032,0.00607
"C1b","CC4","Flavobacteriales (100); NS9_marine_group (94); NS9_marine_group_ge (94); ESV_302","NS9_marine_group_ge (94); ESV_302",0.019046,0.001402,13.6,0.2586,4.62e-17
"C1b","CC4","Rhodobacterales (100); Rhodobacteraceae (100); Ascidiaceihabitans (98); ESV_198","Ascidiaceihabitans (98); ESV_198",0.011204,0.003435,3.3,0.0365,2.96e-07
"C1b","CC4","Betaproteobacteriales (100); Methylophilaceae (100); OM43_clade (100); ESV_370","OM43_clade (100); ESV_370",0.005021,0.001076,4.7,0.0234,2.9e-05
"C1b","CC6","Thiomicrospirales (100); Thioglobaceae (100); SUP05_cluster (100); ESV_10","SUP05_cluster (100); ESV_10",0.056449,0.016152,3.5,0.1973,2.33e-10
"C2a","CC1","Cytophagales (93); Cyclobacteriaceae (58); uncultured (36); ESV_3179","uncultured (36); ESV_3179",0.000762,1.4e-05,52.2,0.0398,1.03e-05
"C2a","CC1","Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (92); ESV_604","SAR116_clade_ge (92); ESV_604",0.002998,0.000233,12.8,0.0384,9.89e-17
"C2a","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Algibacter (96); ESV_984","Algibacter (96); ESV_984",0.002019,0.000367,5.5,0.0111,0.00611
"C2a","CC2","Spirochaetales (5); Spirochaetaceae (5); uncultured (5); ESV_1032","uncultured (5); ESV_1032",0.003447,0.000355,9.7,0.0333,1.06e-10
"C2a","CC2","Microtrichales (100); Ilumatobacteraceae (100); Ilumatobacter (100); ESV_221","Ilumatobacter (100); ESV_221",0.002399,0.000589,4.1,0.0098,1.8e-05
"C2a","CC2","Diplorickettsiales (5); Diplorickettsiaceae (5); uncultured (5); ESV_2764","uncultured (5); ESV_2764",0.002264,0.000857,2.6,0.006,0.0073
"C2a","CC3","Betaproteobacteriales (100); Methylophilaceae (100); OM43_clade (88); ESV_2652","OM43_clade (88); ESV_2652",0.00393,0,3930.8,15.4471,2.17e-12
"C2a","CC3","Nostocales (100); Microcystaceae (100); Atelocyanobacterium_(UCYN-A) (99); ESV_2177","Atelocyanobacterium_(UCYN-A) (99); ESV_2177",0.00099,0,991.5,0.982,1.82e-09
"C2a","CC3","Opitutales (100); Opitutaceae (94); Diplosphaera (66); ESV_1076","Diplosphaera (66); ESV_1076",0.000908,0,908.7,0.8249,1.78e-15
"C2a","CC4","Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_29","NS5_marine_group (100); ESV_29",0.024566,0.002239,11,0.2695,3.21e-06
"C2a","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8","SAR86_clade_ge (100); ESV_8",0.042048,0.020447,2.1,0.0865,0.000137
"C2a","CC4","Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (99); ESV_15","OM60(NOR5)_clade (99); ESV_15",0.015165,0.005472,2.8,0.042,0.000265
"C2a","CC5","Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (100); ESV_94","SAR116_clade_ge (100); ESV_94",0.02519,0.004283,5.9,0.1481,3.53e-07
"C2a","CC5","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_149","NS4_marine_group (100); ESV_149",0.010336,0.001413,7.3,0.0755,0.000118
"C2a","CC5","Flavobacteriales (98); Flavobacteriaceae (98); Lutimonas (36); ESV_347","Lutimonas (36); ESV_347",0.006855,0.002014,3.4,0.0233,0.00692
"C2a","CC6","SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1","Clade_Ia (100); ESV_1",0.185644,0.066797,2.8,0.5159,1.09e-05
"C2b1","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Formosa (62); ESV_565","Formosa (62); ESV_565",0.010028,9.9e-05,100.5,1.0083,4.09e-07
"C2b1","CC1","Tenderiales (94); Tenderiaceae (94); Candidatus_Tenderia (94); ESV_2955","Candidatus_Tenderia (94); ESV_2955",0.001043,5.5e-05,18.7,0.0195,0.000415
"C2b1","CC1","Nitrosopumilales (100); Nitrosopumilaceae (100); Candidatus_Nitrosopumilus (100); ESV_36","Candidatus_Nitrosopumilus (100); ESV_36",0.000818,8.1e-05,10,0.0081,0.0025
"C2b1","CC3","Rickettsiales (5); Anaplasmataceae (1); Wolbachia (1); ESV_1127","Wolbachia (1); ESV_1127",0.004897,0.000326,15,0.0733,0.0185
"C2b1","CC3","Micrococcales (99); Microbacteriaceae (99); Candidatus_Aquiluna (73); ESV_115","Candidatus_Aquiluna (73); ESV_115",0.003491,0.001127,3.1,0.0108,2.11e-07
"C2b1","CC4","Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (62); ESV_101","NS5_marine_group (62); ESV_101",0.054736,0.004642,11.8,0.6452,5.57e-09
"C2b1","CC4","Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30","Planktomarina (85); ESV_30",0.061332,0.018382,3.3,0.2046,3.94e-07
"C2b1","CC4","Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (99); ESV_15","OM60(NOR5)_clade (99); ESV_15",0.024505,0.004809,5.1,0.1248,4.02e-07
"C2b1","CC6","OM182_clade (99); OM182_clade_fa (99); OM182_clade_ge (99); ESV_72","OM182_clade_ge (99); ESV_72",0.069445,0.02084,3.3,0.2314,5.68e-05
"C2b1","CC6","Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_68","NS11-12_marine_group_ge (100); ESV_68",0.044363,0.019537,2.3,0.1007,0.000239
"C2b1","CC6","Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (88); ESV_201","Fluviicola (88); ESV_201",0.028014,0.008989,3.1,0.0873,0.000117
"C2b2","CC1","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_1752","NS9_marine_group_ge (100); ESV_1752",0.000446,0,446.9,0.1993,0.000468
"C2b2","CC1","Flavobacteriales (97); Cryomorphaceae (88); NS10_marine_group (88); ESV_8708","NS10_marine_group (88); ESV_8708",0.000385,4e-06,80.3,0.0309,0.00555
"C2b2","CC1","OM190_or (2); OM190_fa (2); OM190_ge (2); ESV_3157","OM190_ge (2); ESV_3157",0.000108,0,108.6,0.0117,0.000468
"C2b2","CC2","Nitrosococcales (96); Methylophagaceae (96); uncultured (80); ESV_763","uncultured (80); ESV_763",0.005134,0.001267,4.1,0.0208,0.000147
"C2b2","CC2","Alteromonadales (100); Colwelliaceae (100); Colwellia (100); ESV_479","Colwellia (100); ESV_479",0.001937,0.000462,4.2,0.0081,1.38e-05
"C2b2","CC2","Bacteroidales (23); Bacteroidetes_BD2-2 (13); Bacteroidetes_BD2-2_ge (13); ESV_3603","Bacteroidetes_BD2-2_ge (13); ESV_3603",0.000132,5.1e-05,2.6,3e-04,0.0028
"C2b2","CC3","Flavobacteriales (76); Cryomorphaceae (27); uncultured (21); ESV_1451","uncultured (21); ESV_1451",0.002317,9.6e-05,24,0.0555,2.06e-11
"C2b2","CC3","Kordiimonadales (100); uncultured (100); uncultured_ge (100); ESV_264","uncultured_ge (100); ESV_264",0.002995,0.000453,6.6,0.0198,3.33e-09
"C2b2","CC3","Chromatiales (65); Sedimenticolaceae (65); uncultured (65); ESV_208","uncultured (65); ESV_208",0.000776,0.000108,7.1,0.0055,7.38e-07
"C2b2","CC4","Betaproteobacteriales (100); Methylophilaceae (100); Methylotenera (99); ESV_568","Methylotenera (99); ESV_568",0.007586,0.000868,8.7,0.0663,8.51e-17
"C2b2","CC4","Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (62); ESV_101","NS5_marine_group (62); ESV_101",0.014349,0.006745,2.1,0.0305,1.12e-08
"C2b2","CC4","Rhodobacterales (100); Rhodobacteraceae (100); Ascidiaceihabitans (98); ESV_198","Ascidiaceihabitans (98); ESV_198",0.009651,0.003782,2.6,0.0246,4.62e-05
"C2b2","CC5","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_622","NS4_marine_group (100); ESV_622",0.003776,0.001066,3.5,0.0134,0.00269
"C2b2","CC5","Flavobacteriales (100); Cryomorphaceae (100); uncultured (100); ESV_959","uncultured (100); ESV_959",0.002385,0.000813,2.9,0.007,0.0375
"C2b2","CC5","Flavobacteriales (99); Flavobacteriaceae (99); Lutibacter (87); ESV_1264","Lutibacter (87); ESV_1264",0.001433,0.000456,3.1,0.0045,0.0376
